id,value,feed_id,created_at,lat,lon,ele
0F371MZTWWZGH2QQ2BDMMR0PVW,507,2300344,2022-08-12 19:28:59 UTC,,,
0F371N5PJVJ422Z1J4KKRP367S,508,2300344,2022-08-12 19:29:18 UTC,,,
0F371NB6WPX0XCD013JEV2SSRH,508,2300344,2022-08-12 19:29:36 UTC,,,
0F371NGPVBRXWNHZ75PZK4PNNB,508,2300344,2022-08-12 19:29:54 UTC,,,
0F371NQ0AAY7QT7J8TE8GYGHAC,491,2300344,2022-08-12 19:30:15 UTC,,,
0F371NX85W06DB56FNDABQR0JZ,491,2300344,2022-08-12 19:30:35 UTC,,,
0F371P3B3XMYJ7WD919B0PAYA0,491,2300344,2022-08-12 19:30:55 UTC,,,
0F371P8SKS78A5C9H5E04VXPTE,507,2300344,2022-08-12 19:31:13 UTC,,,
0F371PJ1VRGSJ0245WN7X4VQCR,507,2300344,2022-08-12 19:31:43 UTC,,,
0F371PPRVKVMC2FDTVJ2HW4VTF,507,2300344,2022-08-12 19:31:59 UTC,,,
0F371PWP1KBX1YPADE8AVJ95FV,503,2300344,2022-08-12 19:32:18 UTC,,,
0F371Q2747FYJV8JZCV0SGQMVP,503,2300344,2022-08-12 19:32:36 UTC,,,
0F371Q7XCZ2QSAM89AFDYGHTEF,503,2300344,2022-08-12 19:32:55 UTC,,,
0F371QDRFQHVX3DYMQZ022PP94,524,2300344,2022-08-12 19:33:14 UTC,,,
0F371QKFKTGAGMS3EDEC1WE9HJ,524,2300344,2022-08-12 19:33:33 UTC,,,
0F371QSQTPNTQZ1AP04CG5REYH,524,2300344,2022-08-12 19:33:53 UTC,,,
0F371QZVDVJ1QGVJ032R52B5VM,509,2300344,2022-08-12 19:34:14 UTC,,,
0F371R65N5SXFZM4WX4FBG9V3S,509,2300344,2022-08-12 19:34:34 UTC,,,
0F371RBYN00R9QDS0GZ5B6GTA8,509,2300344,2022-08-12 19:34:53 UTC,,,
0F371RHS6WYZXN5H3TRB7J79B0,514,2300344,2022-08-12 19:35:12 UTC,,,
0F371RQMRN753A176BC2HCWQFV,514,2300344,2022-08-12 19:35:31 UTC,,,
0F371RXBBNARF6Z9PZ4YMQDY92,514,2300344,2022-08-12 19:35:50 UTC,,,
0F371S326X33N6NV2S38P2M639,517,2300344,2022-08-12 19:36:09 UTC,,,
0F371S8X197RJK14V5S7P6JR9X,517,2300344,2022-08-12 19:36:28 UTC,,,
0F371SEPWGY9VXKRW8EHEFGP2P,517,2300344,2022-08-12 19:36:47 UTC,,,
0F371SMHCRVCMFPGSKSQQZ1XCJ,517,2300344,2022-08-12 19:37:06 UTC,,,
0F371TEPQN7JAX020BAMD9QZGC,530,2300344,2022-08-12 19:38:32 UTC,,,
0F371V3TEB41KRHYF4XXSNSVVJ,510,2300344,2022-08-12 19:39:41 UTC,,,
0F371VS16N4NNWNECZ80ZYR12J,507,2300344,2022-08-12 19:40:51 UTC,,,
0F371WDXD20CGTB0YS0K75DX4D,520,2300344,2022-08-12 19:41:59 UTC,,,
0F371X367CMRYGVWYMPX4RGFGF,519,2300344,2022-08-12 19:43:09 UTC,,,
0F371XRA39GAVSQ615RG57EWE8,510,2300344,2022-08-12 19:44:18 UTC,,,
0F371YDP1AMJGYQXEX135FB49F,517,2300344,2022-08-12 19:45:28 UTC,,,
0F371Z2X8G36WYZPT3PVGVQSYD,523,2300344,2022-08-12 19:46:38 UTC,,,
0F371ZQPY5NDKJE1EJ7K83KB6E,509,2300344,2022-08-12 19:47:46 UTC,,,
0F3720D592YJR71YVF4YBBA6X3,505,2300344,2022-08-12 19:48:56 UTC,,,
0F37212JJJ14N5JP7BMDXQR04B,503,2300344,2022-08-12 19:50:06 UTC,,,
0F3721QMS5A9HKEDTYBVMDEQ3B,500,2300344,2022-08-12 19:51:15 UTC,,,
0F3722CRQ0DXZ8BPFSZBXSBF19,516,2300344,2022-08-12 19:52:24 UTC,,,
