id,value,feed_id,created_at,lat,lon,ele
0F3JCV4WYZSHBMRVRRGGXMJQK9, -1.83,2307251,2022-08-26 22:00:11 UTC,,,
0F3JCV7K7EMJ0QWT7HCGX4BCGC, -1.00,2307251,2022-08-26 22:00:19 UTC,,,
0F3JCVAA159DK7FD22NXF3T5PT, -0.10,2307251,2022-08-26 22:00:28 UTC,,,
0F3JCVD6GWJ9M95N14SA5GFM5M, 2.82,2307251,2022-08-26 22:00:38 UTC,,,
0F3JCVFR802YP4HFEQQ4X7B2K7, -1.15,2307251,2022-08-26 22:00:46 UTC,,,
0F3JCVJRZ1PP207812ACC8YJ78, -2.38,2307251,2022-08-26 22:00:56 UTC,,,
0F3JCVNFXS5SMDS7W42DMZHYVY, -1.00,2307251,2022-08-26 22:01:05 UTC,,,
0F3JCVR7AFP769AHVT937V24Z9, 0.81,2307251,2022-08-26 22:01:14 UTC,,,
0F3JCVTY8VHTMH4JNDVCJPYXD1, 1.65,2307251,2022-08-26 22:01:23 UTC,,,
0F3JCVXMVE6XFJNGMAMNYVMV7N, 1.51,2307251,2022-08-26 22:01:32 UTC,,,
0F3JCW0CHE90W8FHG998KPV5FV, 3.68,2307251,2022-08-26 22:01:41 UTC,,,
0F3JCW32QE673M2HQX39NVNSZ6, 0.01,2307251,2022-08-26 22:01:49 UTC,,,
0F3JCW5T1KKKW1PQ45RJ6TC0EJ, 0.01,2307251,2022-08-26 22:01:58 UTC,,,
0F3JCW8H5QYJ19QF6D1H9PSP70, 0.93,2307251,2022-08-26 22:02:07 UTC,,,
0F3JCWB85W4N37N8P42M68G058, -1.39,2307251,2022-08-26 22:02:16 UTC,,,
0F3JCWE9BMSA7FVASXYGPB9FSF, -2.44,2307251,2022-08-26 22:02:26 UTC,,,
0F3JCWHAYXW3365ATW7K02Q6VZ, 1.89,2307251,2022-08-26 22:02:36 UTC,,,
0F3JCWKQG8G0T9TTGC0BA4ABT9, -0.01,2307251,2022-08-26 22:02:44 UTC,,,
0F3JCWPDXHAHFEWF0R2A9XEGSQ, 2.55,2307251,2022-08-26 22:02:53 UTC,,,
0F3JCWS4MDERT1GH2J4X1B8KD8, -1.74,2307251,2022-08-26 22:03:02 UTC,,,
0F3JCWVVDXYBZFFX2CHAA7B0YN, -0.72,2307251,2022-08-26 22:03:11 UTC,,,
